Project Key|Project Name|Total Hotspots|Open Hotspots|Resolved Hotspots|Code Coverage (%)|Lines to Cover|Uncovered Lines
"redmapdev_redmap5"|"Redmap5"|0|0|0|"N/A"|"N/A"|"N/A"
"redmapdev_redmap.webapp.scp"|"redmap.webapp.scp"|0|0|0|"97.6"|"109"|"3"
"redmapdev_redmap.webservice.account"|"Redmap.WebService.Account"|3|0|3|"N/A"|"N/A"|"N/A"
"redmapdev_redmap.webservice.activity"|"Redmap.WebService.Activity"|5|2|3|"N/A"|"N/A"|"N/A"
"redmapdev_redmap.webservice.alayacareengine"|"Redmap.WebService.AlayaCareEngine"|3|0|3|"N/A"|"N/A"|"N/A"
"redmapdev_redmap.webservice.artifacts"|"Redmap.WebService.Artifacts"|2|0|2|"N/A"|"N/A"|"N/A"
"redmapdev_redmap.webservice.configuration"|"Redmap.WebService.Configuration"|3|0|3|"N/A"|"N/A"|"N/A"
"redmapdev_redmap.webservice.d365engine"|"Redmap.WebService.D365Engine"|2|0|2|"N/A"|"N/A"|"N/A"
"redmapdev_redmap.webservice.directory"|"Redmap.WebService.Directory"|3|1|2|"N/A"|"N/A"|"N/A"
"redmapdev_redmap.webservice.edit"|"Redmap.WebService.Edit"|3|0|3|"N/A"|"N/A"|"N/A"
"redmapdev_redmap.webservice.events"|"Redmap.WebService.Events"|24|19|5|"0.0"|"3615"|"3615"
"redmapdev_redmap.webservice.export"|"Redmap.WebService.Export"|5|0|5|"N/A"|"N/A"|"N/A"
"redmapdev_redmap.webservice.integration"|"Redmap.WebService.Integration"|3|0|3|"N/A"|"N/A"|"N/A"
"redmapdev_redmap.webservice.messagedistribution"|"Redmap.WebService.MessageDistribution"|4|0|4|"N/A"|"N/A"|"N/A"
"redmapdev_redmap.webservice.metrics"|"Redmap.Webservice.Metrics"|1|0|1|"N/A"|"N/A"|"N/A"
"redmapdev_redmap.webservice.myobengine"|"Redmap.WebService.Myobengine"|2|0|2|"N/A"|"N/A"|"N/A"
"redmapdev_redmap.webservice.prontoconnector"|"Redmap.Webservice.ProntoConnector"|10|10|0|"0.0"|"6492"|"6492"
"redmapdev_redmap.webservice.scp"|"Redmap.WebService.SCP"|0|0|0|"N/A"|"N/A"|"N/A"
"redmapdev_redmap.webservice.search"|"Redmap.WebService.Search"|10|10|0|"0.0"|"1985"|"1985"
"redmapdev_redmap.webservice.solution"|"Redmap.WebService.Solution"|17|17|0|"0.0"|"5139"|"5139"
"redmapdev_redmap.webservice.solutionmigration"|"Redmap.WebService.SolutionMigration"|13|13|0|"0.0"|"3759"|"3759"
"redmapdev_redmap.webservice.stream"|"Redmap.WebService.Stream"|3|0|3|"N/A"|"N/A"|"N/A"
"redmapdev_redmap.webservice.validation"|"Redmap.WebService.Validation"|4|0|4|"N/A"|"N/A"|"N/A"
"redmapdev_redmap.webservice.widgets"|"Redmap.WebService.Widgets"|2|0|2|"N/A"|"N/A"|"N/A"
"redmapdev_redmap.webservice.workflow"|"Redmap.WebService.Workflow"|3|1|2|"N/A"|"N/A"|"N/A"
"redmapdev_redmap.webservice.workflowjob"|"Redmap.WebService.WorkflowJob"|4|0|4|"N/A"|"N/A"|"N/A"
"redmapdev_redmap.webservice.xeroengine"|"Redmap.WebService.XeroEngine"|3|0|3|"N/A"|"N/A"|"N/A"
"redmapdev_redmap.webservice.xtracta"|"Redmap.WebService.Xtracta"|3|0|3|"N/A"|"N/A"|"N/A"
